DATE,INDEX,Turnover
21/12/2021,1897.2,877523.25
20/12/2021,1872.7,1034003.66
19/12/2021,1899.79,396342.7
16/12/2021,1911.14,1184911.22
15/12/2021,1887.48,807780.17
14/12/2021,1886.15,793967.22
13/12/2021,1888.9,782652.02
12/12/2021,1902.42,245381.54
09/12/2021,1906.21,946796.96
08/12/2021,1908.22,949751.46
07/12/2021,1913.41,870222.83
06/12/2021,1884.16,801812.11
05/12/2021,1866.1,227155.25
02/12/2021,1869.86,1516064.06
01/12/2021,1889.6,805263.21
30/11/2021,1863.85,1652737.29
29/11/2021,1878.08,615725.85
28/11/2021,1868.41,750495.51
25/11/2021,1896.57,1111913.68
24/11/2021,1885.36,629795.47
23/11/2021,1892.1,786706.39
22/11/2021,1906.61,979345.68
21/11/2021,1892.9,283919.86
18/11/2021,1901.32,841709.61
17/11/2021,1895.16,677419.39
16/11/2021,1898.76,778038.94
15/11/2021,1902.8,750582.89
14/11/2021,1903.32,346772.44
11/11/2021,1889.38,923846.23
10/11/2021,1875.37,751980.96
09/11/2021,1889.01,651676.78
08/11/2021,1892.09,604700.19
07/11/2021,1891.74,328317.94
04/11/2021,1887.24,1405570.01
03/11/2021,1880.92,632733.69
02/11/2021,1874.86,866922.69
01/11/2021,1861.31,811189.56
31/10/2021,1850.11,310267.97
28/10/2021,1849.5,1104574.12
27/10/2021,1862.34,833227.53
26/10/2021,1871.67,998615.49
25/10/2021,1868.97,911128.85
24/10/2021,1860.12,258313.74
21/10/2021,1860.81,931864.3
20/10/2021,1851.76,514399.92
19/10/2021,1843.6,584927.34
18/10/2021,1842.18,708706.51
17/10/2021,1847.26,387691.2
14/10/2021,1848.07,792727.11
13/10/2021,1831.15,808912.66
12/10/2021,1824.25,752720.8
11/10/2021,1814.41,773055.83
10/10/2021,1801.51,255838.18
07/10/2021,1803.34,1217320.44
06/10/2021,1784.16,884661.54
05/10/2021,1799.79,704552.41
04/10/2021,1791.33,641039.43
03/10/2021,1806.69,281765.07
30/09/2021,1802.26,1049614.58
29/09/2021,1793.99,940489.45
26/09/2021,1798.29,300511.3
23/09/2021,1804.59,1004209.24
22/09/2021,1792.55,725828.99
